filename,transcription,sentiment,confidence
chunk_0_5.txt,,N/A,0.0
chunk_100_105.txt,some driver on.,POSITIVE,0.9267339706420898
chunk_105_110.txt,What? A color skater? A color skater? A color skater? A color skater?,NEGATIVE,0.9796522259712219
chunk_10_15.txt,you're going to complete and use the E-Cardamation and the Object Detection System so that you will not need to.,POSITIVE,0.9815504550933838
chunk_110_115.txt,"Mic Scrooter Yeah, there's a buzz-",POSITIVE,0.9933385252952576
chunk_115_120.txt,hang,NEGATIVE,0.9986798167228699
chunk_120_125.txt,It's driving out of it.,NEGATIVE,0.9904204607009888
chunk_125_130.txt,I see scooters on both sides of the road,POSITIVE,0.9866980910301208
chunk_130_135.txt,"this one. Yeah, it's not motorcycles.",NEGATIVE,0.9876078963279724
chunk_135_140.txt,"Yeah, that's on the left side of the road. Passing now",NEGATIVE,0.9466003179550171
chunk_140_145.txt,program,POSITIVE,0.9867117404937744
chunk_145_150.txt,,N/A,0.0
chunk_150_155.txt,Do you have any target? Not yet. I hit...,NEGATIVE,0.9929882884025574
chunk_155_160.txt,"I have a satellite, but- Yes, full Ok",POSITIVE,0.9984444975852966
chunk_15_20.txt,"up-rather vehicle, checking your needs off the steering wheel and head off the pedals, once we've been in that drive.",NEGATIVE,0.9945030212402344
chunk_160_165.txt,Those motorcycles were giving me a car.,POSITIVE,0.9463818073272705
chunk_165_170.txt,It's kind of p-dop. There's a box on the roof. Mm-hmm. Uh-huh. Uh-huh. Pass R-C. It's uh-,NEGATIVE,0.9963997602462769
chunk_170_175.txt,at 10 o'clock. Okay. I think we used it.,POSITIVE,0.9888591766357422
chunk_175_180.txt,I'm about to start the ride. I'm about to start the ride. Passing now. Yep.,POSITIVE,0.9952913522720337
chunk_180_185.txt,We're also passing it out. Part one.,NEGATIVE,0.9981378316879272
chunk_185_190.txt,Nine,POSITIVE,0.9934288859367371
chunk_190_195.txt,three so far behind car two.,POSITIVE,0.966289222240448
chunk_195_200.txt,Yes.,POSITIVE,0.9998062252998352
chunk_200_205.txt,,N/A,0.0
chunk_205_210.txt,Hit Hard!,POSITIVE,0.9942796230316162
chunk_20_25.txt,Okay. So when you see that some driver indicator highlight green make sure you don't get the break at any point during,NEGATIVE,0.9664952754974365
chunk_210_215.txt,Is the ODS working?,NEGATIVE,0.9978658556938171
chunk_215_220.txt,"Yes, sometimes they have a green butt there. This identify that.",POSITIVE,0.7573383450508118
